Sekce,Typ otázky,Otázka,Správná odpověď,Vysvětlení
A,Odkud → Kam,Odkud kam jede linka č. 1?,Řečkovice ↔ Bystrc Rakovecká,Linka 1 jede z Řečkovice do Bystrc Rakovecká.
A,Odkud → Kam,Odkud kam jede linka č. 2?,Židenice Stará osada ↔ Modřice smyčka,Linka 2 jede z Židenice Stará osada do Modřice smyčka.
A,Odkud → Kam,Odkud kam jede linka č. 3?,Židenice Stará osada ↔ Bystrc Ečerova,Linka 3 jede z Židenice Stará osada do Bystrc Ečerova.
A,Odkud → Kam,Odkud kam jede linka č. 4?,Obřany Babická ↔ Masarykova čtvrť Náměstí Míru,Linka 4 jede z Obřany Babická do Masarykova čtvrť Náměstí Míru.
A,Odkud → Kam,Odkud kam jede linka č. 5?,Štefánikova čtvrť (smyčka) ↔ Ústřední hřbitov smyčka,Linka 5 jede z Štefánikova čtvrť (smyčka) do Ústřední hřbitov smyčka.
A,Odkud → Kam,Odkud kam jede linka č. 6?,Královo Pole nádraží ↔ Starý Lískovec,Linka 6 jede z Královo Pole nádraží do Starý Lískovec.
A,Odkud → Kam,Odkud kam jede linka č. 7?,Lesná Čertova rokle ↔ Starý Lískovec,Linka 7 jede z Lesná Čertova rokle do Starý Lískovec.
A,Odkud → Kam,Odkud kam jede linka č. 8?,Líšeň Mifkova ↔ Nemocnice Bohunice (terminál tramvaj),Linka 8 jede z Líšeň Mifkova do Nemocnice Bohunice (terminál tramvaj).
A,Odkud → Kam,Odkud kam jede linka č. 9?,Lesná Čertova rokle ↔ Židenice Juliánov,Linka 9 jede z Lesná Čertova rokle do Židenice Juliánov.
A,Odkud → Kam,Odkud kam jede linka č. 10?,Stránská skála smyčka ↔ Bystrc Rakovecká,Linka 10 jede z Stránská skála smyčka do Bystrc Rakovecká.
A,Odkud → Kam,Odkud kam jede linka č. 12?,Komárov ↔ Technologický park,Linka 12 jede z Komárov do Technologický park.
A,Která linka jede z–do,"Která linka jede z ""Řečkovice"" do ""Bystrc Rakovecká""?",Linka 1,Z Řečkovice do Bystrc Rakovecká jede linka 1.
